codepoints_hex,emoji,description
1F600,😀,grinning face
1F603,😃,grinning face with big eyes
1F604,😄,grinning face with smiling eyes
1F601,😁,beaming face with smiling eyes
1F606,😆,grinning squinting face
1F605,😅,grinning face with sweat
1F923,🤣,rolling on the floor laughing
1F602,😂,face with tears of joy
1F642,🙂,slightly smiling face
1F643,🙃,upside-down face
1FAE0,🫠,melting face
1F609,😉,winking face
1F60A,😊,smiling face with smiling eyes
1F607,😇,smiling face with halo
1F970,🥰,smiling face with hearts
1F60D,😍,smiling face with heart-eyes
1F929,🤩,star-struck
1F618,😘,face blowing a kiss
1F617,😗,kissing face
263A FE0F,☺️,smiling face
263A,☺,smiling face
1F61A,😚,kissing face with closed eyes
1F619,😙,kissing face with smiling eyes
1F972,🥲,smiling face with tear
1F60B,😋,face savoring food
1F61B,😛,face with tongue
1F61C,😜,winking face with tongue
1F92A,🤪,zany face
1F61D,😝,squinting face with tongue
1F911,🤑,money-mouth face
1F917,🤗,smiling face with open hands
1F92D,🤭,face with hand over mouth
1FAE2,🫢,face with open eyes and hand over mouth
1FAE3,🫣,face with peeking eye
1F92B,🤫,shushing face
1F914,🤔,thinking face
1FAE1,🫡,saluting face
1F910,🤐,zipper-mouth face
1F928,🤨,face with raised eyebrow
1F610,😐,neutral face
1F611,😑,expressionless face
1F636,😶,face without mouth
1FAE5,🫥,dotted line face
1F636 200D 1F32B FE0F,😶‍🌫️,face in clouds
1F636 200D 1F32B,😶‍🌫,face in clouds
1F60F,😏,smirking face
1F612,😒,unamused face
1F644,🙄,face with rolling eyes
1F62C,😬,grimacing face
1F62E 200D 1F4A8,😮‍💨,face exhaling
1F925,🤥,lying face
1FAE8,🫨,shaking face
1F642 200D 2194 FE0F,🙂‍↔️,head shaking horizontally
1F642 200D 2194,🙂‍↔,head shaking horizontally
1F642 200D 2195 FE0F,🙂‍↕️,head shaking vertically
1F642 200D 2195,🙂‍↕,head shaking vertically
1F60C,😌,relieved face
1F614,😔,pensive face
1F62A,😪,sleepy face
1F924,🤤,drooling face
1F634,😴,sleeping face
1FAE9,🫩,face with bags under eyes
1F637,😷,face with medical mask
1F912,🤒,face with thermometer
1F915,🤕,face with head-bandage
1F922,🤢,nauseated face
1F92E,🤮,face vomiting
1F927,🤧,sneezing face
1F975,🥵,hot face
1F976,🥶,cold face
1F974,🥴,woozy face
1F635,😵,face with crossed-out eyes
1F635 200D 1F4AB,😵‍💫,face with spiral eyes
1F92F,🤯,exploding head
1F920,🤠,cowboy hat face
1F973,🥳,partying face
1F978,🥸,disguised face
1F60E,😎,smiling face with sunglasses
1F913,🤓,nerd face
1F9D0,🧐,face with monocle
1F615,😕,confused face
1FAE4,🫤,face with diagonal mouth
1F61F,😟,worried face
1F641,🙁,slightly frowning face
2639 FE0F,☹️,frowning face
2639,☹,frowning face
1F62E,😮,face with open mouth
1F62F,😯,hushed face
1F632,😲,astonished face
1F633,😳,flushed face
1FAEA,🫪,distorted face
1F97A,🥺,pleading face
1F979,🥹,face holding back tears
1F626,😦,frowning face with open mouth
1F627,😧,anguished face
1F628,😨,fearful face
1F630,😰,anxious face with sweat
1F625,😥,sad but relieved face
1F622,😢,crying face
1F62D,😭,loudly crying face
1F631,😱,face screaming in fear
1F616,😖,confounded face
1F623,😣,persevering face
1F61E,😞,disappointed face
1F613,😓,downcast face with sweat
1F629,😩,weary face
1F62B,😫,tired face
1F971,🥱,yawning face
1F624,😤,face with steam from nose
1F621,😡,enraged face
1F620,😠,angry face
1F92C,🤬,face with symbols on mouth
1F608,😈,smiling face with horns
1F47F,👿,angry face with horns
1F480,💀,skull
2620 FE0F,☠️,skull and crossbones
2620,☠,skull and crossbones
1F4A9,💩,pile of poo
1F921,🤡,clown face
1F479,👹,ogre
1F47A,👺,goblin
1F47B,👻,ghost
1F47D,👽,alien
1F47E,👾,alien monster
1F916,🤖,robot
1F63A,😺,grinning cat
1F638,😸,grinning cat with smiling eyes
1F639,😹,cat with tears of joy
1F63B,😻,smiling cat with heart-eyes
1F63C,😼,cat with wry smile
1F63D,😽,kissing cat
1F640,🙀,weary cat
1F63F,😿,crying cat
1F63E,😾,pouting cat
1F648,🙈,see-no-evil monkey
1F649,🙉,hear-no-evil monkey
1F64A,🙊,speak-no-evil monkey
1F48C,💌,love letter
1F498,💘,heart with arrow
1F49D,💝,heart with ribbon
1F496,💖,sparkling heart
1F497,💗,growing heart
1F493,💓,beating heart
1F49E,💞,revolving hearts
1F495,💕,two hearts
1F49F,💟,heart decoration
2763 FE0F,❣️,heart exclamation
2763,❣,heart exclamation
1F494,💔,broken heart
2764 FE0F 200D 1F525,❤️‍🔥,heart on fire
2764 200D 1F525,❤‍🔥,heart on fire
2764 FE0F 200D 1FA79,❤️‍🩹,mending heart
2764 200D 1FA79,❤‍🩹,mending heart
2764 FE0F,❤️,red heart
2764,❤,red heart
1FA77,🩷,pink heart
1F9E1,🧡,orange heart
1F49B,💛,yellow heart
1F49A,💚,green heart
1F499,💙,blue heart
1FA75,🩵,light blue heart
1F49C,💜,purple heart
1F90E,🤎,brown heart
1F5A4,🖤,black heart
1FA76,🩶,grey heart
1F90D,🤍,white heart
1F48B,💋,kiss mark
1F4AF,💯,hundred points
1F4A2,💢,anger symbol
1FAEF,🫯,fight cloud
1F4A5,💥,collision
1F4AB,💫,dizzy
1F4A6,💦,sweat droplets
1F4A8,💨,dashing away
1F573 FE0F,🕳️,hole
1F573,🕳,hole
1F4AC,💬,speech balloon
1F441 FE0F 200D 1F5E8 FE0F,👁️‍🗨️,eye in speech bubble
1F441 200D 1F5E8 FE0F,👁‍🗨️,eye in speech bubble
1F441 FE0F 200D 1F5E8,👁️‍🗨,eye in speech bubble
1F441 200D 1F5E8,👁‍🗨,eye in speech bubble
1F5E8 FE0F,🗨️,left speech bubble
